Symbol,Company Name,Industry,Mkt Cap,Prior Close,P/E Ratio (TTM)*,Revenue Growth CFY*,Return on Equity,EPS Growth CFY*,Dividend Yield
CBOE,Cboe Global Markets Inc,Investment Banking & Investment Services,$14.110B,126.19,56.47x,17.83%,7.06%,13.72%,1.58%
IGR,CBRE Global Real Estate Income Fund,Collective Investments ,$666.895M,5.72,--,0.00%,0.00%,0.00%,12.59%
CBRE,CBRE Group Inc,Real Estate Operations,$24.208B,76.62,12.65x,10.74%,25.39%,5.07%,0.00%
PRPC,CC Neuberger Principal Holdings III,Holding Companies,$406.123M,10.09,22.60x,0.00%,0.00%,0.00%,0.00%
CCCS,CCC Intelligent Solutions Holdings Inc,Software & IT Services,$5.537B,8.92,--,13.29%,-1.07%,21.74%,0.00%
CD/WD,CDW Corp,Software & IT Services,$24.518B,181.09,23.81x,17.59%,96.40%,22.84%,1.30%
CECO,CECO Environmental Corp.,Professional & Commercial Services  ,$412.954M,12.05,40.94x,26.89%,5.14%,142.86%,0.00%
FUN,"Cedar Fair, L.P.",Hotels & Entertainment Services,$2.191B,38.72,8.22x,34.33%,0.00%,0.00%,3.10%
CE,Celanese Corporation,Chemicals,$11.174B,103.05,6.78x,13.69%,37.48%,-10.98%,2.72%
CLS,Celestica Inc,Electronic Equipment & Parts,$1.226B,11.10,10.22x,0.00%,8.88%,0.00%,0.00%
CLDX,"Celldex Therapeutics, Inc.",Biotechnology & Medical Research,$2.092B,44.42,--,-78.76%,-27.10%,-45.12%,0.00%
CLBT,Cellebrite DI Ltd,Software & IT Services,$742.758M,4.22,4.84x,0.00%,0.00%,0.00%,0.00%
CELH,"Celsius Holdings, Inc.",Beverages,$8.223B,107.88,--,107.24%,-135.50%,0.00%,0.00%
CPAC,Cementos Pacasmayo ADR,Construction Materials,$453.536M,5.35,9.15x,11.53%,15.28%,84.78%,10.14%
CX,Cemex SAB de CV (ADR),Construction Materials,$6.443B,4.19,6.63x,8.23%,9.18%,"1,180.00%",0.00%
CVE,Cenovus Energy Inc (US),Oil & Gas,$15.883B,19.06,10.02x,53.94%,20.45%,"1,218.52%",1.63%
CNC,Centene Corp,Healthcare Providers & Services,$46.235B,81.65,23.83x,14.76%,7.77%,11.46%,0.00%
CNP,CenterPoint Energy Inc,Multiline Utilities,$15.333B,30.53,21.17x,2.30%,10.55%,-15.24%,2.49%
CSR,Centerspace,Residential & Commercial REITs,$908.661M,60.30,--,26.76%,-3.92%,-155.32%,4.84%
CNTA,Centessa Pharmaceuticals PLC - ADR,Biotechnology & Medical Research,$307.437M,3.25,--,0.00%,-50.71%,0.00%,0.00%
CENT,Central Garden & Pet Co,Food & Tobacco,$429.291M,37.94,13.61x,0.90%,11.91%,-4.64%,0.00%
CPF,Central Pacific Financial Corp.,Banking Services,$534.213M,19.62,7.16x,2.49%,15.31%,-10.25%,5.30%
CET,Central Securities Corp.,Collective Investments ,$927.215M,34.03,--,0.00%,-12.97%,0.00%,1.62%
LEU,Centrus Energy Corp,Uranium,$458.304M,33.16,4.15x,-13.66%,0.00%,-69.85%,0.00%
CENX,Century Aluminum Co,Metals & Mining,$736.257M,8.06,4.96x,25.75%,36.74%,90.32%,0.00%
CCS^G12,Century Communities Inc,Homebuilding & Construction Supplies,$1.650B,51.93,2.86x,2.87%,33.25%,9.74%,1.54%
IPSC,Century Therapeutics Inc,Biotechnology & Medical Research,$359.152M,6.09,--,0.00%,-33.84%,21.28%,0.00%
CISO,Cerberus Cyber Sentinel Corp,Software & IT Services,$418.286M,2.86,--,0.00%,-113.03%,0.00%,0.00%
CRNC,Cerence Inc,Software & IT Services,$759.297M,19.01,--,0.00%,-35.63%,0.00%,0.00%
CERE,Cerevel Therapeutics Holdings Inc,Biotechnology & Medical Research,$4.954B,31.69,--,0.00%,-51.57%,0.00%,0.00%
CDAY,Ceridian HCM Holding Inc,Software & IT Services,$9.910B,64.52,--,0.00%,-3.64%,0.00%,0.00%
CERT,Certara Inc,Software & IT Services,$2.609B,16.34,--,16.01%,-0.41%,158.82%,0.00%
CERS,Cerus Corporation,Healthcare Equipment & Supplies,$732.749M,4.13,--,22.60%,-49.97%,34.38%,0.00%
CEVA,"CEVA, Inc.",Semiconductors & Semiconductor Equipment ,$627.467M,27.06,--,9.86%,-8.14%,12.31%,0.00%
CFIV,CF Acquisition IV Corp,Holding Companies,$515.100M,10.10,38.49x,0.00%,3.40%,0.00%,0.00%
CF,"CF Industries Holdings, Inc.",Chemicals,$18.350B,93.53,6.14x,74.38%,86.45%,291.75%,1.71%
GIB,CGI Inc,Software & IT Services,$23.907B,86.69,19.53x,5.76%,20.56%,8.81%,0.00%
CHRW,CH Robinson Worldwide Inc,Freight & Logistics Services,$10.938B,92.92,11.27x,10.08%,59.22%,26.15%,2.63%
CHX,ChampionX Corp,Oil & Gas Related Equipment and Services,$5.724B,28.71,45.82x,24.55%,7.60%,96.67%,1.04%
CRGE,Charge Enterprises Inc,Telecommunications Services,$322.366M,1.56,--,0.00%,0.00%,0.00%,0.00%
CHPT,ChargePoint Holdings Inc,Electrical Utilities & IPPs,$3.270B,9.57,--,99.01%,-70.69%,-16.39%,0.00%
CRL,Charles River Laboratories Intl. Inc,Biotechnology & Medical Research,$11.209B,220.31,25.95x,10.45%,17.27%,5.52%,0.00%
SCHW,Charles Schwab Corp,Investment Banking & Investment Services,$4.135B,81.25,24.66x,12.39%,16.87%,20.62%,1.08%
GTLS,"Chart Industries, Inc.","Machinery, Equipment & Components",$4.205B,114.77,62.43x,26.54%,4.78%,75.00%,0.00%
CHTR,Charter Communications Inc,Telecommunications Services,$51.625B,321.34,10.04x,4.65%,42.20%,29.71%,0.00%
CCF,Chase Corporation,"Machinery, Equipment & Components",$838.795M,88.35,18.78x,0.00%,12.37%,0.00%,1.13%
CLDT^D10,Chatham Lodging Trust,Residential & Commercial REITs,$594.970M,12.19,--,43.49%,-0.91%,95.65%,2.30%
CHKP,Check Point Software Technologies Ltd.,Software & IT Services,$17.501B,127.60,20.97x,7.43%,25.32%,4.13%,0.00%
CAKE,Cheesecake Factory Inc,Hotels & Entertainment Services,$1.605B,31.22,32.03x,13.18%,15.42%,-25.82%,3.46%
CMCM,Cheetah Mobile Inc (ADR),Software & IT Services,$901.208M,2.00,--,0.00%,0.00%,0.00%,0.00%
CHEF,Chefs' Warehouse Inc,Food & Drug Retailing ,$1.310B,34.22,39.55x,46.87%,9.67%,0.00%,0.00%
CHGG,Chegg Inc,Professional & Commercial Services  ,$3.372B,26.87,13.63x,-1.53%,24.08%,10.08%,0.00%
CHE,Chemed Corporation,Healthcare Providers & Services,$7.650B,514.48,29.88x,-0.20%,34.92%,1.76%,0.30%
CC,Chemours Co,Chemicals,$4.671B,30.95,5.52x,6.57%,79.58%,20.75%,3.23%
CQP,Cheniere Energy Partners LP,Oil & Gas Related Equipment and Services,$28.432B,58.74,--,67.12%,0.00%,33.33%,5.28%
LNG,"Cheniere Energy, Inc.",Oil & Gas Related Equipment and Services,$39.119B,157.32,--,0.00%,0.00%,0.00%,1.00%
CHK,Chesapeake Energy Corp,Oil & Gas,$13.196B,98.50,5.99x,0.00%,59.46%,0.00%,2.23%
CPK,Chesapeake Utilities Corporation,Natural Gas Utilities,$2.119B,119.45,24.57x,14.46%,11.03%,5.29%,1.79%
CVX,Chevron Corporation,Oil & Gas,$337.807B,174.70,9.94x,46.66%,23.20%,134.56%,3.25%
CHWY,Chewy Inc,Other Specialty Retailers,$4.621B,41.20,--,12.86%,-17.81%,88.89%,0.00%
CHS,"Chico's FAS, Inc.",Other Specialty Retailers,$647.857M,5.18,5.77x,19.62%,42.03%,145.95%,0.00%
PLCE,Children's Place Inc,Other Specialty Retailers,$454.270M,37.15,5.84x,-10.02%,40.69%,-69.78%,0.00%
CIM,Chimera Investment Corporation,Residential & Commercial REITs,$1.425B,6.15,--,-22.59%,-20.50%,-30.34%,14.96%
CEA,China Eastern Airlines Corp. Ltd.  (ADR),Passenger Transportation Services,$2.224B,21.48,--,0.00%,-60.53%,0.00%,0.00%
CRHKY,China Resources Beer Holdings CoLtd(ADR),Beverages,$22.320B,13.76,0.00x,0.00%,0.00%,0.00%,1.16%
CSUAY,China Shenhua Energy Co Ltd - ADR,Coal,$9.693B,11.48,0.00x,0.00%,0.00%,0.00%,23.53%
ZNH,China Southern Airlines Co Ltd (ADR),Passenger Transportation Services,$3.116B,33.55,--,0.00%,-28.72%,0.00%,0.00%
CD,Chindata Group Holdings Ltd,Software & IT Services,$316.000M,7.90,31.26x,0.00%,6.28%,0.00%,0.00%
KDNY,Chinook Therapeutics Inc,Biotechnology & Medical Research,$1.634B,25.55,--,-88.85%,-31.64%,-23.45%,0.00%
IMOS,ChipMOS Technologies Inc - ADR,Semiconductors & Semiconductor Equipment ,$773.783M,21.28,5.21x,0.00%,19.57%,0.00%,20.95%
CMG,"Chipotle Mexican Grill, Inc.",Hotels & Entertainment Services,$39.508B,"1,425.19",49.61x,15.20%,34.88%,31.39%,0.00%
CHH,Choice Hotels International Inc,Hotels & Entertainment Services,$5.993B,112.44,18.42x,29.21%,136.51%,18.41%,0.84%
CHRD,Chord Energy Corp,Oil & Gas,$2.661B,135.59,3.89x,82.17%,45.05%,104.02%,3.69%
CHSCP,CHS Inc,Food & Tobacco,$344.922M,28.11,--,0.00%,24.09%,0.00%,7.12%
CB,Chubb Ltd,Insurance,$90.796B,218.76,15.27x,8.30%,11.48%,23.09%,1.52%
CHT,"Chunghwa Telecom Co., Ltd (ADR)",Telecommunications Services,$28.121B,36.25,23.51x,0.00%,9.89%,0.00%,4.39%
CHD,"Church & Dwight Co., Inc.",Personal &Household Products & Services,$19.751B,80.99,27.14x,2.74%,20.46%,-2.32%,1.30%
CVII,Churchill Capital Corp VII,Holding Companies,$1.370B,9.93,32.85x,0.00%,3.99%,0.00%,0.00%
CCV^L17,Churchill Capital V Corp,Holding Companies,$496.750M,9.94,21.33x,0.00%,6.25%,0.00%,0.00%
CCVI,Churchill Capital VI Corp,Holding Companies,$548.136M,9.93,21.57x,0.00%,5.47%,0.00%,0.00%
CHDN,"Churchill Downs, Inc.",Hotels & Entertainment Services,$7.826B,209.24,16.83x,13.08%,100.94%,38.58%,0.34%
CHUY,Chuy's Holdings Inc,Hotels & Entertainment Services,$520.084M,28.90,22.80x,6.21%,9.50%,-31.22%,0.00%
CIEN,Ciena Corporation,Communications & Networking,$7.338B,49.44,49.23x,17.17%,5.33%,37.37%,0.00%
CI,Cigna Corp,Healthcare Providers & Services,$101.860B,333.16,15.92x,3.79%,14.31%,13.19%,1.34%
CMPR,Cimpress PLC,Professional & Commercial Services  ,$689.928M,26.30,--,6.50%,0.00%,86.06%,0.00%
CINF,Cincinnati Financial Corporation,Insurance,$16.434B,104.55,--,-43.86%,-0.27%,-32.45%,2.64%
CINC,CinCor Pharma Inc,Biotechnology & Medical Research,$509.851M,11.65,--,0.00%,-37.16%,93.39%,0.00%
CNK,"Cinemark Holdings, Inc.",Hotels & Entertainment Services,$1.078B,8.95,--,68.14%,-66.01%,61.13%,0.00%
CTAS,Cintas Corporation,Professional & Commercial Services  ,$47.156B,464.39,37.74x,11.04%,36.64%,8.50%,0.99%
CION,Cion Investment Corp,Investment Banking & Investment Services,$582.527M,10.51,10.56x,0.00%,6.10%,0.00%,11.80%
CIR,"CIRCOR International, Inc.","Machinery, Equipment & Components",$499.097M,24.51,--,2.40%,-17.07%,43.56%,0.00%
CRUS,"Cirrus Logic, Inc.",Semiconductors & Semiconductor Equipment ,$4.263B,77.43,12.88x,3.90%,22.48%,-13.91%,0.00%
CSCO,Cisco Systems Inc,Communications & Networking,$195.792B,47.66,17.25x,5.77%,27.72%,5.65%,3.19%
CTPCY,CITIC Ltd (ADR),Banking Services,$28.858B,4.96,0.00x,0.00%,0.00%,0.00%,8.43%
C,Citigroup Inc,Investment Banking & Investment Services,$86.790B,44.81,6.04x,4.63%,8.06%,-29.78%,4.55%
CZNC,Citizens & Northern Corporation,Banking Services,$367.184M,23.70,14.21x,3.03%,9.63%,-11.98%,4.73%
CFG,Citizens Financial Group Inc,Banking Services,$19.059B,38.70,9.67x,21.21%,8.64%,-18.80%,4.34%
CZFS,Citizens Financial Services Inc,Banking Services,$309.007M,77.82,11.00x,8.90%,14.05%,-1.78%,2.47%
CDEVY,City Developments Limited (ADR),Real Estate Operations,$4.649B,5.96,5.87x,0.00%,14.68%,0.00%,2.41%
CHCO,City Holding Company,Banking Services,$1.392B,93.72,14.86x,11.99%,15.32%,16.96%,2.77%
CIO,City Office REIT Inc,Residential & Commercial REITs,$347.144M,8.74,0.85x,10.36%,87.01%,-95.00%,9.15%
CVEO,Civeo Corp,Real Estate Operations,$413.995M,30.19,17.12x,14.68%,8.93%,0.00%,0.00%
CIVB,Civista Bancshares Inc,Banking Services,$350.712M,22.30,8.75x,10.66%,11.70%,-2.28%,2.51%
CIVI,Civitas Resources Inc,Oil & Gas,$4.946B,58.11,4.23x,295.55%,33.88%,366.21%,3.44%
CLVT,CLARIVATE PLC,Professional & Commercial Services  ,$5.454B,8.09,--,0.00%,-63.04%,0.00%,0.00%
CMTG,Claros Mortgage Trust Inc,Residential & Commercial REITs,$2.214B,16.00,14.57x,0.00%,6.12%,0.00%,9.25%
CLNE,Clean Energy Fuels Corp,Oil & Gas,$1.252B,5.63,--,69.45%,-6.65%,0.00%,0.00%
CLH,Clean Harbors Inc,Professional & Commercial Services  ,$6.289B,116.31,16.76x,34.89%,22.92%,93.41%,0.00%
CCO,Clear Channel Outdoor Holdings Inc,Media & Publishing,$495.097M,1.04,--,10.39%,0.00%,59.14%,0.00%
YOU,Clear Secure Inc,Software & IT Services,$2.526B,29.50,--,0.00%,-24.71%,0.00%,0.00%
EMO^E10,Clearbridge Energy MidstreamOprtntyFdInc,Collective Investments ,$369.224M,28.17,2.40x,0.00%,36.64%,0.00%,7.38%
CEM,Clearbridge MLP and Midstream Fund Inc,Collective Investments ,$445.298M,32.89,2.46x,0.00%,35.52%,0.00%,7.54%
CLFD,Clearfield Inc,Communications & Networking,$1.351B,97.79,27.55x,41.73%,39.27%,20.28%,0.00%
CWAN,Clearwater Analytics Holdings Inc,Software & IT Services,$1.105B,18.66,--,19.47%,-2.29%,69.23%,0.00%
CLW,Clearwater Paper Corp,Paper & Forest Products,$636.621M,37.98,10.56x,17.91%,11.58%,325.24%,0.00%
CWEN/A,Clearway Energy Inc,Electrical Utilities & IPPs,$1.054B,30.47,6.34x,-3.66%,27.62%,809.09%,4.82%
CLF,Cleveland-Cliffs Inc,Metals & Mining,$7.797B,15.13,3.28x,13.34%,44.33%,-45.90%,0.00%
CLVLY,Clinuvel Pharmaceuticals Ltd (ADR),Pharmaceuticals,$709.034M,14.35,0.00x,0.00%,0.00%,0.00%,0.19%
CLX,Clorox Co,Personal &Household Products & Services,$17.718B,143.60,43.92x,-0.58%,116.71%,2.20%,3.29%
NET,Cloudflare Inc,Software & IT Services,$13.241B,46.51,--,48.48%,-31.09%,0.00%,0.00%
CLOV,Clover Health Investments Corp,Healthcare Equipment & Supplies,$373.232M,0.97,--,0.00%,-110.45%,0.00%,0.00%
CLPHY,CLP Holdings Limited (ADR),Electrical Utilities & IPPs,$17.963B,7.11,--,0.00%,-0.86%,0.00%,5.57%
CME,CME Group Inc,Investment Banking & Investment Services,$62.186B,172.87,23.58x,7.39%,9.48%,19.34%,2.31%
CMS,CMS Energy Corporation,Multiline Utilities,$17.788B,62.66,25.17x,4.81%,11.50%,8.68%,2.94%
CNA,Cna Financial Corp,Insurance,$11.229B,41.45,12.39x,-26.84%,8.79%,-5.91%,3.86%
CCNE,CNB Financial Corp,Banking Services,$506.669M,23.99,7.08x,18.91%,13.69%,6.37%,2.92%
CNF,CNFinance Holdings Ltd - ADR,Banking Services,$2.579B,1.88,176.88x,0.00%,0.07%,0.00%,0.00%
CNHI,CNH Industrial NV,"Machinery, Equipment & Components",$21.794B,16.21,12.52x,0.00%,23.66%,0.00%,1.86%
CHTH,CNL Healthcare Properties Inc,Residential & Commercial REITs,$920.254M,5.29,--,0.00%,-1.97%,0.00%,0.00%
CNO,CNO Financial Group Inc,Insurance,$2.602B,22.74,5.80x,-12.13%,14.37%,-16.49%,2.46%
CNX,CNX Resources Corp,Oil & Gas,$3.061B,16.96,--,-16.93%,-26.58%,-9.94%,0.00%
CCB,Coastal Financial Corp (EVERETT),Banking Services,$620.621M,47.88,18.32x,0.00%,17.85%,0.00%,0.00%
KO,Coca-Cola Co,Beverages,$275.904B,63.80,27.97x,10.53%,44.13%,6.90%,2.76%
COKE,Coca-Cola Consolidated Inc,Beverages,$4.362B,521.17,17.30x,0.00%,38.94%,0.00%,0.38%
CCEP,Coca-Cola Europacific Partners PLC,Beverages,$25.137B,55.14,16.93x,0.00%,19.84%,0.00%,3.08%
KOF,Coca-Cola Femsa SAB de CV (ADR),Beverages,$3.608B,68.69,15.98x,19.40%,14.95%,8.13%,3.96%
CDXS,"Codexis, Inc.",Biotechnology & Medical Research,$314.641M,4.79,--,30.92%,-19.29%,-63.64%,0.00%
CDE,Coeur Mining Inc,Metals & Mining,$997.333M,3.55,--,-6.35%,-16.87%,"-2,900.00%",0.00%
COGT,Cogent Biosciences Inc,Biotechnology & Medical Research,$769.522M,11.01,--,0.00%,-74.73%,-25.13%,0.00%
CCOI,Cogent Communications Holdings Inc,Telecommunications Services,$2.701B,56.26,115.02x,1.55%,0.00%,-70.87%,6.51%
CGNX,Cognex Corporation,"Machinery, Equipment & Components",$8.299B,47.99,39.62x,-2.46%,14.83%,-12.00%,0.58%
CTSH,Cognizant Technology Solutions Corp,Software & IT Services,$28.589B,55.63,12.39x,4.49%,19.95%,7.77%,1.94%
FOF,"Cohen & Steers Clsd-End Optuny Fnd, Inc.",Collective Investments ,$301.311M,11.01,--,0.00%,0.00%,0.00%,9.48%
UTF,Cohen & Steers infrastucture Fund Inc,Collective Investments ,$2.244B,23.94,--,0.00%,0.00%,0.00%,7.77%
LDP,Cohen & Steers Ltd DrtnPrfrrd&IncmFndInc,Collective Investments ,$549.302M,18.89,--,0.00%,-13.67%,0.00%,8.58%
RQI,Cohen & Steers Qlty Inc Realty Fund Inc,Collective Investments ,$462.386M,11.90,--,0.00%,0.00%,0.00%,23.90%
CNS,"Cohen & Steers, Inc.",Investment Banking & Investment Services,$3.113B,63.91,15.53x,-3.74%,69.99%,-8.68%,3.44%
RNP,Cohen & Strs Reit nd Prfd nd Incm Fd Inc,Collective Investments ,$979.505M,20.58,--,0.00%,0.00%,0.00%,7.93%
COHR,Coherent Corp,Electronic Equipment & Parts,$4.404B,33.65,85.63x,63.86%,0.92%,1.61%,0.00%
CHRS,Coherus Biosciences Inc,Biotechnology & Medical Research,$562.335M,7.23,--,-32.98%,"-1,657.06%",-161.54%,0.00%
COHU,"Cohu, Inc.",Semiconductors & Semiconductor Equipment ,$1.557B,32.69,16.69x,-8.68%,10.96%,-12.19%,0.00%
COIN,Coinbase Global Inc,Financial Technology (Fintech) & Infrastructure,$6.287B,35.15,--,-59.46%,-20.38%,0.00%,0.00%
CL,Colgate-Palmolive Company,Personal &Household Products & Services,$65.974B,78.99,34.45x,2.80%,317.89%,-7.48%,2.38%
COLL,Collegium Pharmaceutical Inc,Pharmaceuticals,$772.156M,23.00,--,65.80%,-19.11%,0.00%,0.00%
CIGI,Colliers International Group Inc,Real Estate Operations,$3.422B,90.31,61.43x,0.00%,13.21%,0.00%,0.33%
CLAA,Colonnade Acquisition II Corp,Holding Companies,$331.650M,10.05,--,0.00%,0.54%,0.00%,0.00%
COLB,Columbia Banking System Inc,Banking Services,$2.429B,30.88,10.76x,19.14%,10.10%,-32.01%,3.89%
CLBK,Columbia Financial Inc,Banking Services,$2.343B,21.38,25.68x,15.17%,8.50%,-6.82%,0.00%
STK,Columbia Seligman Premium Tech Gt,Collective Investments ,$386.055M,23.86,--,0.00%,0.00%,0.00%,0.00%
COLM,Columbia Sportswear Company,Textiles & Apparel,$5.332B,85.84,16.09x,10.42%,18.55%,-2.63%,1.40%
CMCO,Columbus McKinnon Corp.,"Machinery, Equipment & Components",$898.696M,31.39,20.43x,2.54%,5.82%,0.71%,0.89%
CMCSA,Comcast Corporation,Telecommunications Services,$151.334B,35.08,30.54x,4.21%,6.14%,11.46%,3.08%
CMA,Comerica Incorporated,Banking Services,$8.516B,65.03,8.62x,18.77%,16.57%,1.32%,4.18%
FIX,"Comfort Systems USA, Inc.",Construction & Engineering,$4.193B,117.24,18.57x,33.56%,26.48%,31.04%,0.51%
CBSH,"Commerce Bancshares, Inc.",Banking Services,$8.279B,66.06,17.84x,2.75%,16.03%,-7.06%,1.60%
CIBEY,Commercial Intrntnl Bank Egypt SAE (ADR),Banking Services,$3.579B,1.20,0.00x,0.00%,0.00%,0.00%,2.70%
CMC,Commercial Metals Company,Metals & Mining,$5.845B,49.81,5.01x,-7.31%,43.62%,-23.08%,1.28%
CRZBY,Commerzbank AG (ADR),Banking Services,$11.753B,9.39,9.28x,0.00%,4.09%,0.00%,0.00%
COMM,Commscope Holding Company Inc,Communications & Networking,$1.513B,7.26,--,7.88%,0.00%,20.86%,0.00%
CBU,"Community Bank System, Inc.",Banking Services,$3.320B,61.79,18.76x,9.88%,10.12%,-1.15%,2.85%
CYH,Community Health Systems Inc,Healthcare Providers & Services,$515.951M,3.83,--,-0.98%,0.00%,0.00%,0.00%
CHCT,Community Healthcare Trust Inc,Residential & Commercial REITs,$894.826M,35.37,41.30x,8.14%,4.30%,8.05%,6.22%
CTBI,"Community Trust Bancorp, Inc.",Banking Services,$817.240M,45.61,10.35x,2.58%,12.15%,-7.89%,3.86%
CVLT,"CommVault Systems, Inc.",Software & IT Services,$2.832B,63.59,112.99x,3.60%,9.21%,5.98%,0.00%
CBD,Companhia Brasileira de Distribuicao SA,Food & Drug Retailing ,$919.769M,3.41,14.91x,-12.28%,2.39%,0.00%,0.00%
SBS,Companhia de Saneamento Bsc DEDSP (ADR),Water Utilities,$7.307B,10.69,12.47x,0.00%,11.75%,0.00%,0.00%
ELP,Companhia Paranaense de Energia (ADR),Electrical Utilities & IPPs,$11.906B,7.09,114.88x,-17.31%,4.13%,-4.41%,14.95%
SID,Companhia Siderurgica Nacional SA (ADR),Metals & Mining,$3.700B,2.79,7.98x,-9.43%,11.82%,-70.48%,14.43%
CCU,Compania Cervecerias Unidas S.A. (ADR),Beverages,$2.290B,12.40,13.97x,-1.03%,10.36%,-47.18%,6.18%
BVN,Compania de Minas Buenaventura SAA (ADR),Metals & Mining,$2.100B,7.64,9.00x,-14.80%,7.76%,0.00%,0.96%
CODI,Compass Diversified Holdings,Holding Companies,$1.207B,16.72,1132.79x,21.20%,0.27%,-21.40%,5.98%
COMP,Compass Inc,Software & IT Services,$1.036B,2.38,--,0.00%,-74.34%,0.00%,0.00%
CMP,"Compass Minerals International, Inc.",Chemicals,$1.714B,41.77,--,3.29%,-13.71%,107.02%,1.44%
CMPX,Compass Therapeutics Inc.,Biotechnology & Medical Research,$648.622M,5.14,--,0.00%,-58.02%,0.00%,0.00%
CPUH,Compute Health Acquisition Corp,Holding Companies,$866.813M,10.05,32.43x,0.00%,4.10%,0.00%,0.00%
CPSI,"Computer Programs & Systems, Inc.",Healthcare Equipment & Supplies,$405.521M,27.94,21.92x,15.99%,8.19%,-4.83%,0.00%
CRK,Comstock Resources Inc,Oil & Gas,$3.399B,14.54,3.91x,55.70%,84.55%,209.48%,3.44%
CMTL,Comtech Telecomm. Corp.,Communications & Networking,$348.576M,12.55,--,0.00%,-9.54%,0.00%,3.19%
CAG,Conagra Brands Inc,Food & Tobacco,$18.586B,38.78,32.51x,5.85%,6.74%,4.24%,3.40%
CNXC,Concentrix Corp,Professional & Commercial Services  ,$6.747B,129.63,15.02x,0.00%,17.17%,0.00%,0.85%
CNDB/U,Concord Acquisition Corp III,Holding Companies,$350.175M,10.15,15.67x,0.00%,16.62%,0.00%,0.00%
BBCP,Concrete Pumping Holdings Inc,Construction & Engineering,$337.902M,5.97,14.20x,0.00%,8.77%,0.00%,0.00%
CNDT,Conduent Inc,Software & IT Services,$887.431M,4.11,9.29x,-6.76%,8.46%,-58.21%,0.00%
CFLT,Confluent Inc,Software & IT Services,$3.277B,23.21,--,49.47%,-52.55%,24.42%,0.00%
CNMD,Conmed Corp,Healthcare Equipment & Supplies,$2.676B,87.78,--,8.56%,-11.24%,-2.80%,0.91%
CNOB,ConnectOne Bancorp Inc,Banking Services,$948.111M,24.16,8.03x,15.95%,11.77%,-5.28%,2.57%
COP,ConocoPhillips,Oil & Gas,$144.893B,116.28,8.35x,63.57%,38.75%,138.94%,3.86%
CCSI,Consensus Cloud Solutions Inc,Software & IT Services,$1.072B,54.09,13.92x,0.00%,16.30%,0.00%,0.00%
CEIX,Consol Energy Inc,Coal,$2.576B,73.87,6.90x,0.00%,55.86%,0.00%,5.69%
CNSL,Consolidated Communications Holdings Inc,Telecommunications Services,$433.889M,3.76,--,-7.53%,-28.09%,0.00%,0.00%
ED,"Consolidated Edison, Inc.",Electrical Utilities & IPPs,$33.967B,95.72,20.08x,4.53%,8.31%,2.96%,3.30%
CSTA,Constellation Acquisition Corp I,Holding Companies,$312.790M,10.09,36.52x,0.00%,3.64%,0.00%,0.00%
STZ,"Constellation Brands, Inc.",Beverages,$37.628B,233.39,549.26x,7.80%,1.02%,7.35%,1.37%
CEG^C12,Constellation Energy Corp,Electrical Utilities & IPPs,$29.317B,89.65,--,0.00%,-1.35%,0.00%,0.63%
CSTM,Constellium SE,Metals & Mining,$1.678B,11.99,5.96x,32.74%,55.67%,21.14%,0.00%
ROAD,Construction Partners Inc,Construction & Engineering,$1.095B,26.59,64.74x,0.00%,4.94%,0.00%,0.00%
WISH,ContextLogic Inc,Software & IT Services,$350.009M,0.52,--,0.00%,-47.33%,0.00%,0.00%
CTTAY,Continental AG (ADR),Automobiles & Auto Parts,$5.658B,5.96,--,-17.53%,-0.48%,22.58%,3.89%
VLRS,Controladora Vuela Co Avcn SA CV (ADR),Passenger Transportation Services,$949.950M,8.57,--,31.52%,-28.52%,0.00%,0.00%
CONX,CONX Corp.,Holding Companies,$748.049M,9.97,27.75x,0.00%,4.77%,0.00%,0.00%
CPAA,Conyers Park III Acquisition Corp,Holding Companies,$353.787M,9.91,53.81x,0.00%,2.41%,0.00%,0.00%
COO,Cooper Companies Inc,Healthcare Equipment & Supplies,$16.222B,328.69,42.35x,5.62%,5.47%,0.16%,0.02%
CTKYY,CooTek (Cayman) Inc,Software & IT Services,$695.810M,0.16,--,0.00%,0.00%,0.00%,0.00%
CPA,"Copa Holdings, S.A.",Passenger Transportation Services,$2.638B,83.97,9.09x,92.40%,28.97%,"13,100.00%",0.00%
CPRT,"Copart, Inc.",Other Specialty Retailers,$29.078B,61.05,27.35x,7.21%,24.88%,2.69%,0.00%
CORT,Corcept Therapeutics Incorporated,Pharmaceuticals,$2.213B,20.56,20.67x,10.36%,23.06%,7.87%,0.00%
CNM,Core & Main Inc,"Machinery, Equipment & Components",$3.357B,19.47,9.23x,0.00%,24.58%,0.00%,0.00%
CLB,Core Laboratories N.V.,Oil & Gas Related Equipment and Services,$938.085M,20.23,61.82x,4.67%,9.19%,-19.72%,0.20%
CRBG,Corebridge Financial Inc,Insurance,$13.248B,20.54,8.77x,0.00%,19.84%,0.00%,4.48%
CXW,Corecivic Inc,Professional & Commercial Services  ,$1.387B,11.79,11.14x,-1.07%,9.19%,0.00%,0.00%
COOL,Corner Growth Acquisition Corp,Holding Companies,$388.400M,9.71,27.85x,0.00%,4.60%,0.00%,0.00%
CLM,Cornerstone Strategic Value Fund Inc.,Collective Investments ,$912.117M,7.57,--,0.00%,0.00%,0.00%,19.47%
